               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061509,            0.026001,            0.069933,           0.0057967,             0.89905,            0.079198,            0.044739,            0.027408,           0.0076723,            0.054237,            0.070316,           0.0032982,           0.0032982
                   1,            0.042631,            0.017881,            0.067455,            0.010117,             0.98077,            0.096831,            0.051053,            0.026111,           0.0043337,            0.050976,             0.04025,           0.0065659,           0.0065659
                   2,            0.038732,            0.014967,            0.064366,             0.07157,             0.55815,             0.14413,            0.057069,            0.030257,           0.0042622,            0.048179,            0.010118,           0.0097676,           0.0097676
                   3,            0.038207,            0.014081,             0.06734,             0.21692,              0.2643,             0.15077,            0.086161,            0.024454,           0.0050076,            0.046387,            0.009703,            0.009703,            0.009703
                   4,             0.03607,            0.013587,            0.064171,             0.33536,             0.36934,              0.2196,             0.15131,            0.024132,           0.0049623,            0.040524,            0.009703,            0.009703,            0.009703
                   5,            0.035028,            0.013066,            0.059352,             0.35568,             0.42226,             0.31617,             0.19575,            0.022671,           0.0037679,            0.038467,            0.009604,            0.009604,            0.009604
                   6,            0.032838,            0.013002,            0.058821,             0.31229,             0.41635,             0.30424,              0.2098,            0.021886,           0.0040894,            0.039576,            0.009505,            0.009505,            0.009505
                   7,            0.031026,            0.012562,            0.055465,             0.31862,              0.4217,             0.33647,             0.23621,            0.020074,           0.0044914,            0.038905,            0.009406,            0.009406,            0.009406
                   8,            0.033087,            0.012629,            0.057989,             0.28248,             0.60194,              0.3955,             0.22269,            0.022007,            0.003693,            0.036412,            0.009307,            0.009307,            0.009307
                   9,            0.030302,            0.012403,            0.052649,             0.44686,             0.40887,             0.38834,              0.2993,            0.020142,            0.004268,            0.033702,            0.009208,            0.009208,            0.009208
                  10,            0.030887,            0.012066,            0.052884,             0.28919,             0.55203,             0.46495,              0.3279,            0.021521,           0.0037092,            0.030852,            0.009109,            0.009109,            0.009109
                  11,            0.030725,            0.011654,            0.049685,             0.30438,              0.6021,             0.42477,             0.27919,            0.020083,            0.003761,             0.03017,             0.00901,             0.00901,             0.00901
                  12,             0.03062,            0.012242,             0.05202,             0.29009,             0.66141,              0.5378,             0.36895,            0.018187,           0.0040166,            0.028976,            0.008911,            0.008911,            0.008911
                  13,             0.03021,            0.011424,            0.049544,              0.2918,             0.67311,             0.51332,             0.37671,            0.018942,            0.003635,            0.031217,            0.008812,            0.008812,            0.008812
                  14,            0.029962,            0.011759,            0.051312,             0.33675,             0.40183,             0.40287,             0.24984,            0.023634,           0.0043334,            0.031873,            0.008713,            0.008713,            0.008713
                  15,            0.027294,            0.011652,            0.045303,             0.37256,              0.6414,              0.5379,             0.37427,            0.021677,           0.0038752,            0.025849,            0.008614,            0.008614,            0.008614
